pd3-memcheck-normalised-request	FAIL	exit=2	expected=0	8s
pd3-memcheck-normalised-status	PASS	exit=0	expected=0	0s
pd6-parity-magnitude-gdb	PASS	exit=0	expected=0	1s
cpu-planner-pytest	FAIL	exit=1	expected=0	7s
cpu-plan-hcw_rendezvous	PASS	exit=0	expected=0	1s
cpu-plan-powered_descent_3dof	PASS	exit=0	expected=0	2s
cpu-plan-powered_descent_6dof	PASS	exit=0	expected=0	2s
cpu-plan-low_thrust	PASS	exit=0	expected=0	2s
cpu-plan-hcw_rendezvous-status	PASS	exit=0	expected=0	0s
cpu-plan-powered_descent_3dof-status	PASS	exit=0	expected=0	0s
cpu-plan-powered_descent_6dof-status	PASS	exit=0	expected=0	0s
cpu-plan-low_thrust-status	PASS	exit=0	expected=0	0s
