Tue Sep  8 18:02:16 2026    /home/ubuntu/spacepdhcg-campaign-profile-v708/campaign.pstats

         182662634 function calls (179283987 primitive calls) in 209.447 seconds

   Ordered by: cumulative time
   List reduced from 3515 to 70 due to restriction <70>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1142/1    0.057    0.000  209.789  209.789 {built-in method builtins.exec}
        1    0.050    0.050  209.789  209.789 run.py:1(<module>)
        1    0.103    0.103  209.732  209.732 run.py:144(run)
        3    0.000    0.000  188.033   62.678 run.py:223(verify)
        3    0.026    0.009  186.889   62.296 verifier.py:389(verify_file)
        3    0.000    0.000  182.376   60.792 verifier.py:395(verify)
       69    0.100    0.001  182.370    2.643 verifier.py:453(_verify_ship)
    59457    2.791    0.000  180.474    0.003 verifier.py:266(propagate_burn)
     1241    0.238    0.000  180.402    0.145 verifier.py:950(_propagate_leg)
    59457    2.519    0.000  168.419    0.003 ivp.py:160(solve_ivp)
   468057    0.644    0.000  136.949    0.000 base.py:179(step)
   468057    4.489    0.000  136.305    0.000 rk.py:111(_step_impl)
   468057   20.948    0.000  124.327    0.000 rk.py:14(rk_step)
  6233931    2.628    0.000  115.119    0.000 base.py:156(fun)
  6233931    4.275    0.000  112.491    0.000 base.py:23(fun_wrapped)
  6233931   22.982    0.000  106.926    0.000 verifier.py:216(fun)
  6406859   46.759    0.000   80.179    0.000 verifier.py:194(__call__)
  6406859   11.200    0.000   31.077    0.000 verifier.py:187(stencil)
        2    0.001    0.001   14.852    7.426 pipeline.py:293(refine_route)
       36    0.001    0.000   14.833    0.412 g7.py:292(run)
       36    0.000    0.000   14.831    0.412 g7.py:370(_evaluate)
       36    0.000    0.000   14.830    0.412 adapters.py:204(evaluate)
       36    0.001    0.000   14.829    0.412 pipeline.py:128(solve)
  6993830    3.455    0.000   14.592    0.000 fromnumeric.py:1459(searchsorted)
   166111    0.180    0.000   14.572    0.000 base.py:212(dense_output)
   166111    4.196    0.000   14.392    0.000 rk.py:693(_dense_output_impl)
  7002413    3.708    0.000   11.158    0.000 fromnumeric.py:48(_wrapfunc)
       36    0.001    0.000    9.589    0.266 low_thrust.py:645(solve_leg)
       36    0.001    0.000    9.588    0.266 low_thrust.py:652(_solve_leg)
       36    0.001    0.000    9.586    0.266 run.py:40(measured)
       36    9.565    0.266    9.579    0.266 gpu_scvx.py:111(solve_native)
   468057    3.249    0.000    7.302    0.000 rk.py:683(_estimate_error_norm)
    59457    0.162    0.000    7.183    0.000 rk.py:665(__init__)
    59457    0.324    0.000    6.988    0.000 rk.py:85(__init__)
  1666036    3.342    0.000    6.529    0.000 _linalg.py:2598(norm)
  6993830    6.175    0.000    6.175    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
        4    0.007    0.002    5.960    1.490 solution.py:148(read)
        4    2.105    0.526    5.936    1.484 solution.py:161(parse_solution)
       36    0.009    0.000    5.236    0.145 low_thrust.py:976(certify_leg)
     1519    0.073    0.000    4.696    0.003 verifier.py:334(propagate_coast)
  6298095    4.477    0.000    4.477    0.000 {built-in method numpy.array}
     1519    1.116    0.001    4.310    0.003 ephemeris.py:190(propagate_kepler)
   166111    0.184    0.000    4.040    0.000 base.py:266(__call__)
   166111    3.677    0.000    3.828    0.000 rk.py:747(_call_impl)
 13839045    3.223    0.000    3.223    0.000 {built-in method builtins.min}
 13166026    3.169    0.000    3.171    0.000 {built-in method builtins.max}
    59457    0.684    0.000    3.163    0.000 common.py:68(select_initial_step)
    65854    0.895    0.000    2.668    0.000 ephemeris.py:213(time_equation)
  1205732    1.416    0.000    2.629    0.000 fromnumeric.py:86(_wrapreduction_any_all)
  6581315    2.448    0.000    2.448    0.000 {built-in method numpy.zeros}
        1    0.005    0.005    2.301    2.301 viewer_export.py:219(write_viewer_dataset)
       75    0.002    0.000    2.264    0.030 __init__.py:1(<module>)
  9680015    2.261    0.000    2.261    0.000 {built-in method numpy.asarray}
      181    0.006    0.000    2.185    0.012 __init__.py:183(dumps)
      181    0.106    0.001    2.179    0.012 encoder.py:183(encode)
   832332    0.477    0.000    2.040    0.000 fromnumeric.py:2586(all)
    59457    0.928    0.000    1.964    0.000 verifier.py:171(__init__)
   824756    0.164    0.000    1.947    0.000 encoder.py:414(_iterencode)
 12467867    1.879    0.000    1.879    0.000 {built-in method math.sqrt}
    67373    1.783    0.000    1.814    0.000 ephemeris.py:171(_stumpff)
2400295/824753    0.490    0.000    1.782    0.000 encoder.py:334(_iterencode_dict)
2564234/786674    0.873    0.000    1.602    0.000 encoder.py:278(_iterencode_list)
   384668    0.580    0.000    1.562    0.000 solution.py:157(_is_zero)
    57792    0.131    0.000    1.517    0.000 verifier.py:702(_check_arc_samples)
   404096    0.271    0.000    1.378    0.000 solution.py:59(magnitude)
   373400    0.294    0.000    1.359    0.000 fromnumeric.py:2474(any)
   224810    0.674    0.000    1.336    0.000 verifier.py:249(append)
  7177163    1.304    0.000    1.304    0.000 {built-in method builtins.getattr}
  1601951    1.269    0.000    1.269    0.000 {method 'dot' of 'numpy.ndarray' objects}
  1526666    1.245    0.000    1.245    0.000 {method 'reduce' of 'numpy.ufunc' objects}


Tue Sep  8 18:02:16 2026    /home/ubuntu/spacepdhcg-campaign-profile-v708/campaign.pstats

         182662634 function calls (179283987 primitive calls) in 209.447 seconds

   Ordered by: internal time
   List reduced from 3515 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  6406859   46.759    0.000   80.179    0.000 verifier.py:194(__call__)
  6233931   22.982    0.000  106.926    0.000 verifier.py:216(fun)
   468057   20.948    0.000  124.327    0.000 rk.py:14(rk_step)
  6406859   11.200    0.000   31.077    0.000 verifier.py:187(stencil)
       36    9.565    0.266    9.579    0.266 gpu_scvx.py:111(solve_native)
  6993830    6.175    0.000    6.175    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
   468057    4.489    0.000  136.305    0.000 rk.py:111(_step_impl)
  6298095    4.477    0.000    4.477    0.000 {built-in method numpy.array}
  6233931    4.275    0.000  112.491    0.000 base.py:23(fun_wrapped)
   166111    4.196    0.000   14.392    0.000 rk.py:693(_dense_output_impl)
  7002413    3.708    0.000   11.158    0.000 fromnumeric.py:48(_wrapfunc)
   166111    3.677    0.000    3.828    0.000 rk.py:747(_call_impl)
  6993830    3.455    0.000   14.592    0.000 fromnumeric.py:1459(searchsorted)
  1666036    3.342    0.000    6.529    0.000 _linalg.py:2598(norm)
   468057    3.249    0.000    7.302    0.000 rk.py:683(_estimate_error_norm)
 13839045    3.223    0.000    3.223    0.000 {built-in method builtins.min}
 13166026    3.169    0.000    3.171    0.000 {built-in method builtins.max}
    59457    2.791    0.000  180.474    0.003 verifier.py:266(propagate_burn)
  6233931    2.628    0.000  115.119    0.000 base.py:156(fun)
    59457    2.519    0.000  168.419    0.003 ivp.py:160(solve_ivp)
  6581315    2.448    0.000    2.448    0.000 {built-in method numpy.zeros}
  9680015    2.261    0.000    2.261    0.000 {built-in method numpy.asarray}
        4    2.105    0.526    5.936    1.484 solution.py:161(parse_solution)
 12467867    1.879    0.000    1.879    0.000 {built-in method math.sqrt}
    67373    1.783    0.000    1.814    0.000 ephemeris.py:171(_stumpff)
