Wed Sep  9 04:00:38 2026    /home/angus/spacepdhcg-campaign-profile-v708/campaign.pstats

         182530825 function calls (179152562 primitive calls) in 115.026 seconds

   Ordered by: cumulative time
   List reduced from 3694 to 70 due to restriction <70>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1166/1    0.032    0.000  115.176  115.176 {built-in method builtins.exec}
        1    0.031    0.031  115.176  115.176 run.py:1(<module>)
        1    0.068    0.068  115.130  115.130 run.py:144(run)
        3    0.000    0.000   98.019   32.673 run.py:223(verify)
        3    0.017    0.006   97.406   32.469 verifier.py:389(verify_file)
        3    0.000    0.000   95.018   31.673 verifier.py:395(verify)
       69    0.057    0.001   95.014    1.377 verifier.py:453(_verify_ship)
    59457    1.697    0.000   93.998    0.002 verifier.py:266(propagate_burn)
     1241    0.174    0.000   93.985    0.076 verifier.py:950(_propagate_leg)
    59457    1.515    0.000   86.843    0.001 ivp.py:160(solve_ivp)
   467578    0.360    0.000   69.491    0.000 base.py:179(step)
   467578    2.491    0.000   69.132    0.000 rk.py:111(_step_impl)
   467578   11.361    0.000   62.615    0.000 rk.py:14(rk_step)
  6227700    1.300    0.000   57.263    0.000 base.py:156(fun)
  6227700    2.154    0.000   55.962    0.000 base.py:23(fun_wrapped)
  6227700   11.421    0.000   53.147    0.000 verifier.py:216(fun)
  6400628   23.447    0.000   39.925    0.000 verifier.py:194(__call__)
  6400628    5.816    0.000   15.442    0.000 verifier.py:187(stencil)
        2    0.001    0.001   11.116    5.558 pipeline.py:293(refine_route)
       36    0.001    0.000   11.103    0.308 g7.py:292(run)
       36    0.000    0.000   11.101    0.308 g7.py:370(_evaluate)
       36    0.000    0.000   11.101    0.308 adapters.py:204(evaluate)
       36    0.001    0.000   11.100    0.308 pipeline.py:128(solve)
       36    0.001    0.000    8.304    0.231 low_thrust.py:645(solve_leg)
       36    0.001    0.000    8.303    0.231 low_thrust.py:652(_solve_leg)
       36    0.001    0.000    8.301    0.231 run.py:40(measured)
       36    8.285    0.230    8.296    0.230 gpu_scvx.py:111(solve_native)
